,rank,SMILES,Enamine catalog ID,mol_weight,logP,PAINS passed,DockingScore
40,41,OCCc1ccc(cc1)CNC(=O)Nc1ccc(cc1)C(N1CCOCC1)C,Z2948612930,383.485,2.936300000000001,Yes,-13.025779724121094
41,42,N#Cc1ccc(cc1F)NC(=O)NCC1CCC2C(CC1)C2(F)F,PV-002942234657,337.340,3.890380000000002,Yes,-13.008383750915527
42,43,OCCc1ccc(cc1)NC(=O)CCC(=O)c1ccc(cc1)SC,Z1027074104,343.442,3.544900000000002,Yes,-12.966520309448242
43,44,CCc1cnc(s1)NC(=O)NC1CC2CCCC(C1)N2Cc1ccccc1,Z2215761877,384.540,4.412700000000004,Yes,-12.951600074768066
44,45,O[C@@H]1C[C@@H](C1)CNC(=O)NCCC1Cc2c(C1)cccc2,Z2811742238,288.385,1.8616,Yes,-12.946928024291992
45,46,CNCc1ccc(cc1)NC(=O)NC(c1cccc(c1)OC(F)F)C,Z2356876795,349.376,3.890100000000002,Yes,-12.93603515625
46,47,COc1ccc(cc1O)CCNC(=O)CCc1ccc(nc1)F,Z3204153266,318.343,2.2264,Yes,-12.919549942016602
47,48,CC1CCC2(CC1)NC(=O)N(C2=O)NC(=O)C=CC1CCC1,Z1838909519,305.373,1.8745999999999998,Yes,-12.918373107910156
48,49,O=C(Nc1ccc(cc1F)C1CCOCC1)NC1CCCCNC1=O,Z3605339113,349.401,2.5099,Yes,-12.90578269958496
49,50,CCSCc1cccc(c1)NC(=O)NCCC(C(C)C)O,Z1278055777,310.457,3.4682000000000026,Yes,-12.902660369873049
50,51,O=C(C(C12CC3CC(C2)CC(C1)C3)N)NCCc1cccc(c1)C(=O)N,PV-003199373528,355.475,1.9878999999999996,Yes,-12.90160846710205
51,52,CCCOc1ccc(cc1)NC(=O)NCc1ccc(c(c1)F)F,Z1565689294,320.334,4.075300000000003,Yes,-12.899274826049805
52,53,OCC1(CCNC(=O)NC2CCC(C2)c2cccc(c2)F)CC1,Z2307626665,320.402,2.9236000000000013,Yes,-12.884114265441896
53,54,CCOc1ccc(cc1C)NC(=O)NCc1cc(F)cc(c1)OC,Z1571184818,332.370,3.863120000000002,Yes,-12.883217811584473
54,55,N#Cc1ccc(c(c1)F)NNC(=O)NC1CCc2c(C1)cccc2,Z2112872651,324.353,2.880980000000001,Yes,-12.877153396606444
55,56,COC(=O)c1ccc2c(c1)CC(C2)NC(=O)Nc1ccc(c(c1)F)C#N,PV-002746894944,353.348,2.7728800000000007,Yes,-12.876259803771973
56,57,CCSCc1cccc(c1)NC(=O)NCCC(CCC)O,Z2949022891,310.457,3.6123000000000025,Yes,-12.875922203063965
57,58,COc1ccc2c(c1)CCC(C2)NC(=O)NC12CC3CC(C1)CC(C2)(C3)O,Z2119332827,370.486,2.935400000000002,Yes,-12.875490188598633
58,59,COc1ccc(c(c1)O)CCNC(=O)C(c1ccc(cc1)Cl)O,Z2197577153,335.783,2.446500000000001,Yes,-12.86593532562256
59,60,O=C1CCC(=O)N(N1)c1ccc(cc1)C(=O)OCC(=O)c1ccc2c(c1)cccc2,Z848643998,402.400,3.0375000000000014,Yes,-12.859633445739746
60,61,Fc1ccc2c(c1)CCC2NC(=O)C(=O)NC1CCc2c(C1)cccc2,Z2030539735,352.403,2.602900000000001,Yes,-12.845531463623049
61,62,CN(C1CC1)CCNC(=O)C(=O)NCC12C3C4C2C2C1C3C42,Z3661854878,301.384,-0.3191999999999984,Yes,-12.844841003417969
62,63,CC1CCCCN1C(=O)c1ccc(cc1)NC(=O)C(=O)N1CC(C1)(F)c1ccccc1,Z2126083566,423.481,3.3469000000000015,Yes,-12.84256362915039
63,64,CCN(C(=O)c1ccc(cc1)NC(=O)NCc1cccc(c1)C(F)(F)F)CC,Z411024534,393.404,4.509100000000003,Yes,-12.840892791748049
64,65,N#Cc1cccc(c1)[C@@H]1C[C@H](C1)NC(=O)NCCc1ccns1,Z3570308315,326.418,2.8026800000000014,Yes,-12.837940216064451
65,66,FC[C@@H]1C[C@@H](C1)NC(=O)NNC(=O)CCSc1ccc(cc1)F,Z5518092118,343.394,2.3864,Yes,-12.83478832244873
66,67,OCC1CCC2(CC1)CC(C2)NC(=O)NCCC1Cc2c(C1)cccc2,PV-002997275171,356.503,3.4220000000000024,Yes,-12.828083992004396
67,68,OCCc1ccc(cc1)NC(=O)CCC(=O)c1ccc(c(c1)C)C,Z1027073306,325.402,3.439840000000002,Yes,-12.820159912109377
68,69,CC(CN1CCCCC1)CNC(=O)Nc1ccc2c(c1)sc(n2)C,Z603271172,346.492,3.848220000000002,Yes,-12.805294036865234
69,70,CCCn1ccc2c1ccc(c2)NC(=O)C(=O)NCC1CCCC(C1)C,Z1237348746,355.475,3.9323000000000032,Yes,-12.800382614135742
70,71,COC(=O)c1cccc(c1)NC(=O)CCC(=O)c1ccc2c(c1)CCCC2,Z33638444,365.423,3.9536000000000033,Yes,-12.800016403198242
71,72,N#CC1(CSCCC(=O)Nc2ccc3c(c2)OCCO3)CCC1,Z2366407728,332.419,3.2134800000000014,Yes,-12.797141075134276
72,73,OCC(C1CCC=CC1)NC(=O)NCC(=O)N(Cc1ccccc1)CC,Z3787325530,359.463,2.0514999999999994,Yes,-12.793512344360352
73,74,OCC(CC(c1ccccc1)O)NC(=O)NCCCc1ccccc1,Z1512701859,342.433,2.4030000000000005,Yes,-12.792880058288574
74,75,CCc1ccc(cc1)[C@@H](NC(=O)Nc1ccc(c(c1)C)C(=O)N)C,Z1531212868,325.406,3.5390200000000016,Yes,-12.789968490600586
75,76,N#Cc1ccc(cc1F)NC(=O)NC1CN(CC1C)Cc1ccccc1,Z2171649734,352.406,3.339380000000002,Yes,-12.78866958618164
76,77,CC1CCCC(C1)CCNC(=O)CCc1cc2ccccc2[nH]c1=O,Z1559645315,340.460,3.793300000000002,Yes,-12.786511421203612
77,78,CNCc1ccc(cc1)NC(=O)CCc1ccc2c(n1)NCCC2,Z3792779358,324.421,2.7304000000000004,Yes,-12.785054206848145
78,79,COc1ccc(cc1O)CCNC(=O)C(=O)N1C[C@@H]2[C@H](C1)CCC2,Z2951393472,332.395,1.3179999999999996,Yes,-12.784507751464844
79,80,CCc1nnc2n1CC(CC2)NC(=O)NCC(=O)N1CCc2c1cccc2,Z1632197165,368.434,1.043800000000001,Yes,-12.784001350402832
80,81,O=C(N1C2CCC1C=C(C2)c1ccccc1)NCCc1ccns1,Z2854637508,339.456,3.7155000000000022,Yes,-12.781011581420898
81,82,N#Cc1ccc(cc1F)NC(=O)NCC1CC2CCC(C1)S2,Z2951908211,319.399,3.4930800000000017,Yes,-12.777603149414062
82,83,CNCc1ccc(cc1)NC(=O)NCc1ccc(cc1)C(F)F,PV-002713830167,319.350,3.665300000000002,Yes,-12.764450073242188
83,84,CNC(=O)N1CCC(CC1)NC(=O)Nc1ccc2c(c1)CCCS2,Z3843014964,348.465,2.6502000000000008,Yes,-12.760902404785156
84,85,CNCc1ccc(cc1)NC(=O)NCc1ccc(cc1)F,PV-002897052970,287.333,2.8668000000000013,Yes,-12.75465965270996
85,86,COc1ccc(cc1F)CNC(=O)Nc1ccc2c(c1)sc(n2)C,Z410348992,345.393,4.074120000000002,Yes,-12.752609252929688
86,87,COC(=O)[C@@H]1C[C@@]21C[C@H](C2)NC(=O)NC1CCc2c(C1)cccc2,Z3436454370,328.406,2.1848,Yes,-12.747430801391602
87,88,CCc1ccc(cc1)CNC(=O)Nc1ccc(c(c1)F)C#N,Z2171642563,297.327,3.5814800000000018,Yes,-12.732976913452148
88,89,Cc1cccc(c1)CC1CN(C1)C(=O)C(=O)N1C[C@]2([C@](C1)(C)COC2)C,Z2592600897,356.459,1.8809199999999997,Yes,-12.731829643249512
89,90,COc1cccc(c1)[C@@H]1C[C@H](C1)NC(=O)NCCC1=CCNCC1,Z2363057837,329.437,2.5502000000000002,Yes,-12.731037139892578
90,91,OCc1ccc(cc1F)CNC(=O)Nc1cc(C)nc(c1)C,Z1499809760,303.332,2.6515400000000007,Yes,-12.720260620117188
91,92,COCc1ccc(cc1)NC(=O)N1CCC(CC1)C(c1ccnn1C)O,Z2655522842,358.435,2.544000000000001,Yes,-12.720226287841797
